Unnamed: 0,번호,제목,저자,출판사,출판일
,43,A big-data model for multi-modal public transportation with application to macroscopic control and optimisation,"Faizrahnemoon, Mahsa; Schlote, Arieh; Maggi, Lorenzo; Crisostomi, Emanuele; Shorten, Robert",Taylor & Francis,2015
,44,Selbstlernende Big-Data-Analysen für intelligentes Energiemanagement,"Hilt, B.",Springer Science + Business Media,2015
,45,A big-data oriented recommendation method based on multi-objective optimization,"Xu, Chonghuan","Elsevier Science B.V., Amsterdam.",2019
,46,A Big-Data-based platform of workers’ behavior: Observations from the field,"Guo, S.Y.; Ding, L.Y.; Luo, H.B.; Jiang, X.Y.","Elsevier Science B.V., Amsterdam.",2016
,47,Persisting big-data: The NoSQL landscape,"Corbellini, Alejandro; Mateos, Cristian; Zunino, Alejandro; Godoy, Daniela; Schiaffino, Silvia","Elsevier Science B.V., Amsterdam.",2017
,48,"A big-data analysis of political rhetoric relating the developments of the United States, China, and global powers","Carter, Patrick; Wang, Jeffrie; Chau, Davis",Emerald Publishing,2020
,49,Using Big-data and Surface Fitting to Improve Aircraft Safety Through the Study of Relationships and Anomalies,"Wooder, Duncan; Purvis, Alan; McWilliam, Richard","Elsevier Science B.V., Amsterdam",2017
,50,A big–data security mechanism based on fully homomorphic encryption using cubic spline curve public key cryptography,"Krishna, Addepalli V. N.",Taylor and Francis,2018
,51,Social Big-Data-Based Content Dissemination in Internet of Vehicles,"Zhou, Z.; Gao, C.; Xu, C.; Zhang, Y.; Mumtaz, S.; Rodriguez, J.",IEEE,2018
,52,A big-data method to predict the targets of small molecules and accelerate drug discovery,"Madhukar, N.; Khade, P.; Huang, L.; Gayvert, K.; Paraskevi, G.; Elemento, O.","Elsevier Science B.V., Amsterdam.",2016
,53,A Big-Data Analysis of Disaster Information Dissemination in South Korea,"Hwang, Yongsuk; Jeong, Jaekwan; Jin, Eun-Hyeong; Yu, Hee Ra; Jung, Dawoon",Springer,2018
,54,Mobile big-data-driven rating framework: measuring the relationship between human mobility and app usage behavior,"Qiao, Y.; Zhao, X.; Yang, J.; Liu, J.",IEEE INSTITUTE OF ELECTRICAL AND ELECTRONICS,2016
,55,"A Big-Data Approach to Understanding the Thematic Landscape of the Field of Business Ethics, 1982–2016","Liu, Ying; Mai, Feng; MacDonald, Chris",Springer Nature,2018
,56,"The Big-Data-Driven Intelligent Wireless Network: Architecture, Use Cases, Solutions, and Future Trends","I, C.; Sun, Q.; Liu, Z.; Zhang, S.; Han, S.","Institute of Electrical and Electronics Engineers, Inc.",2017
,57,BIFM: Big-Data Driven Intelligent Forecasting Model for COVID-19,"Dash, Sujata; Chakraborty, Chinmay; Giri, Sourav Kumar; Pani, Subhendu Kumar; Frnda, Jaroslav",IEEE,2021
,58,Using Big-data and Surface Fitting to Improve Aircraft Safety Through the Study of Relationships and Anomalies,"Wooder, Duncan; Purvis, Alan; McWilliam, Richard","Elsevier Science B.V., Amsterdam",2017
,59,Distributed Big-Data Optimization via Blockwise Gradient Tracking,"Notarnicola, Ivano; Sun, Ying; Scutari, Gesualdo; Notarstefano, Giuseppe",IEEE INSTITUTE OF ELECTRICAL AND ELECTRONICS,2021
,60,Four Health Data Networks Illustrate The Potential For A Shared National Multipurpose Big-Data Network,"Curtis, L.H.; Brown, J.; Platt, R.",PROJECT HOPE,2014
,61,Leveraging The Big-Data Revolution: CMS Is Expanding Capabilities To Spur Health System Transformation,"Brennan, N.; Oelschlaeger, A.; Cox, C.; Tavenner, M.",PROJECT HOPE,2014
,62,A Tensor-Based Big-Data-Driven Routing Recommendation Approach for Heterogeneous Networks,"Wang, Xiaokang; Yang, Laurence T.; Kuang, Liwei; Liu, Xingang; Zhang, Qingxia; Deen, M. Jamal",IEEE INSTITUTE OF ELECTRICAL AND ELECTRONICS,2019
,63,Research of Big-Data Mining Visualization Application,"Zhang, C.",Springer Science + Business Media,2014
,64,Editorial: Advanced Big-Data Analysis Methods and Tools for High-Throughput Omics Technologies,"Huang, Tao",Bantham Science Publishers Ltd,2017
,65,Distributed Partitioned Big-Data Optimization via Asynchronous Dual Decomposition,unknown,IEEE,2018
,66,Optimizing Read-Once Data Flow in Big-Data Applications,"Morad, T. Y.; Shomron, G.; Erez, M.; Kolodny, A.; Weiser, U. C.",IEEE Computer Society,2017
,67,Traditional vs. big-data fashion trend forecasting: an examination using WGSN and EDITED,Mikayla DuBreuil; Sheng Lu,TAYLOR & FRANCIS GROUP,2020
,68,Lessons for big-data projects,"Birney, E.",Nature Publishing Group,2012
,69,"21st-Century Investing Big-data companies are soaring. Despite high prices, it's still possible to cash in","Laughlin, L.S.",TIME INC,2014
,70,A Comprehensive Big-Data-Based Monitoring System for Yield Enhancement in Semiconductor Manufacturing,"Nakata, K.; Orihara, R.; Mizuoka, Y.; Takagi, K.",IEEE INSTITUTE OF ELECTRICAL AND ELECTRONICS,2017
,71,IBM stellt Big-Data-Services aus Twitter vor,unknown,SPRINGER SCIENCE + BUSINESS MEDIA,2015
,72,Enhancing physical-layer security via big-data-aided hybrid relay selection,"He, H.; Ren, P.; Du, Q.; Sun, L.; Wang, Y.",Springer Science + Business Media,2017
,73,Comparative Evaluation of Big-Data Systems on Scientific Image Analytics Workloads,"Mehta,  Parmita; Dorkenwald,  Sven; Zhao,  Dongfang; Kaftan,  Tomer; Cheung,  Alvin; Balazinska,  Magdalena; Rokem,  Ariel; Connolly,  Andrew; Vanderplas,  Jacob; Alsayyad,  Yusra",VLDB Endowment,2017
,74,Performance evaluation of NoSQL big-data applications using multi-formalism models,"Barbierato, E.; Gribaudo, M.; Iacono, M.","Elsevier Science B.V., Amsterdam.",2014
,75,Abnormal Operation Tracking through Big-Data-Based Gram—Schmidt Orthogonalization: Production of n-Propyl Propionate in a Simulated Moving-Bed Reactor: A Case Study,"Santana, Vinicius V.; Martins, Márcio A. F.; Rodrigues, Alírio E.; Loureiro, José M.; Ribeiro, Ana M.; Nogueira, Idelfonso B. R.",ACS AMERICAN CHEMICAL SOCIETY,2021
,76,JBHI Special Issue of Big-Data for Health,unknown,IEEE INSTITUTE OF ELECTRICAL AND ELECTRONICS,2014
,77,Pipelined Multi-GPU MapReduce for Big-Data Processing,"Chen, Y.; Qiao, Z.; Davis, S.; Jiang, H.; Li, K.-C.",Springer Science,2013
,78,Analysis: Don't do big-data science backwards,"Lindenmayer, D. B.; Likens, G. E.",Nature Publishing Group,2013
,79,Israeli firm MedAware offers big-data software that helps detect prescription errors,"Rice,  Sabriya",CRAIN COMMUNICATIONS INC.,2015
,80,Design and Implementation of Big-Data Analysis Application on Spark for Distribution Network Based on Data Interception,"Zhang, Pan; Ding, Lingyun; Jiang, Ning; Ling, Wanshui; Ding, Yi","Elsevier Science B.V., Amsterdam",2018
,81,Smallholders need access to big-data agronomy too,"Mehrabi, Z.; Jimenez, D.; Jarvis, A.",Nature Publishing Group,2018
,82,A Middleware for Managing Big-Data Flows,"Gupta, R.; Gupta, H.; Gupta, S.; Padmanabhan, S.",SPRINGER-VERLAG,2013
,83,More accountability for big-data algorithms,unknown,Nature Publishing Group,2016
,84,High performance solutions for big-data GWAS,"Peise, E.; Fabregat-Traver, D.; Bientinesi, P.","Elsevier Science B.V., Amsterdam.",2015
,85,Industrial Symbiosis: Exploring Big-data Approach for Waste Stream Discovery,"Song, Bin; Yeo, Zhiquan; Kohls, Paul; Herrmann, Christoph","Elsevier Science B.V., Amsterdam",2017
,86,Daten und Diabetes: Big-Data-Medizin,"Ickrath, M.",Springer Science + Business Media,2016
,87,An Ultralow-power Memory-based Big-data Computing Platform by Nonvolatile Domain-wall Nanowire Devices,"Wang, Y.; Yu, H.","Red Hook, NY; Curran Associates, Inc.",2013
,88,Ari Caroline: This big-data guru mines analytics to help cancer patients [Resources_Careers],"Nordrum, A.",IEEE INSTITUTE OF ELECTRICAL AND ELECTRONICS,2016
,89,PMU121 APPLICATION OF REAL-WORLD DATA FROM MEDICAL BIG-DATA PLATFORM IN REAL WORLD EVIDENCE GENERATION: A PRACTICE IN POST-MARKETING RESEARCH IN CHINA,"Wang, Y.; Xing, Y.; Wu, Y.; Yuan, N.; Wang, F.; Jiang, B.; Xiong, T.","Elsevier Science B.V., Amsterdam",2020
,90,Mobile Edge Computing for Big-Data-Enabled Electric Vehicle Charging,"Cao, Y.; Song, H.; Kaiwartya, O.; Zhou, B.; Zhuang, Y.; Cao, Y.; Zhang, X.",IEEE INSTITUTE OF ELECTRICAL AND ELECTRONICS,2018
,91,Semantic interoperability for big-data in heterogeneous IoT infrastructure for healthcare,"Ullah, Farhan; Habib, Muhammad Asif; Farhan, Muhammad; Khalid, Shehzad; Durrani, Mehr Yahya; Jabbar, Sohail",Elsevier Science,2017
,92,Advancing manufacturing systems with big-data analytics: A conceptual framework,"Kozjek, Dominik; Vrabič, Rok; Rihtaršič, Borut; Lavrač, Nada; Butala, Peter",Taylor & Francis,2020
,93,Framework for Aligning Big-Data Strategy with Organizational Goals,"Lakoju,  Mike; Serrano,  Alan","Curran Associates,.",2017
,94,Careers: Graduate programs for big-data analysts,unknown,IEEE INSTITUTE OF ELECTRICAL AND ELECTRONICS,2013
,95,"Situating Ecology as a Big-Data Science: Current Advances, Challenges, and Solutions","Farley, S. S.; Dawson, A.; Goring, S. J.; Williams, J. W.",BIOSCIENCE SUBSCRIPTION OFFICE,2018
,96,"Political Depression? A Big-Data, Multimethod Investigation of Americans' Emotional Response to the Trump Presidency","Simchon, Almog; Guntuku, Sharath Chandra; Simhon, Rotem; Ungar, Lyle H.; Hassin, Ran R.; Gilead, Michael",APA AMERICAN PSYCHOLOGICAL ASSOCIATION,2020
,97,COMPUTING Cloud cover The big-data era is putting pressure on storage methods,unknown,Nature Publishing Group,2015
,98,A methodology for real-time data sustainability in smart city: Towards inferencing and analytics for big-data,"Malik, Kaleem Razzaq; Sam, Yacine; Hussain, Majid; Abuarqoub, Abdelrahman",Elsevier Science,2018
,99,Integrative Biology and Big-Data-Centrism: Mapping out a Bioscience Ethics Perspective with a S.W.O.T. Matrix,"Überall, Martina; Werner-Felmayer, Gabriele",Mary Ann Leibert,2019
,100,Biology must develop its own big-data systems,"Boyle, J.",Nature Publishing Group,2013
,1,Identifying industrial clusters with a novel big-data methodology: Are SIC codes (not) fit for purpose in the Internet age?,"Papagiannidis, Savvas; See-To, Eric W.K.; Assimakopoulos, Dimitris G.; Yang, Yang","Elsevier Science B.V., Amsterdam.",2018
,2,E-commerce logistics distribution mode in big-data context: A case analysis of JD.COM,"Zheng, Kangning; Zhang, Zuopeng; Song, Bin","Elsevier Science B.V., Amsterdam.",2020
,3,A qualitative readiness-requirements assessment model for enterprise big-data infrastructure investment [9122-13],"Olama, M.M.; McNair, A.W.; Sukumar, S.R.; Nutaro, J.J.",International Society for Optical Engineering; 1999,2014
,4,Randomized Block Proximal Methods for Distributed Stochastic Big-Data Optimization,"Farina, Francesco; Notarstefano, Giuseppe",IEEE INSTITUTE OF ELECTRICAL AND ELECTRONICS,2021
,5,Position synchronization for track geometry inspection data via big-data fusion and incremental learning,"Wang, Yuan; Wang, Ping; Wang, Xin; Liu, Xiang","Elsevier Science B.V., Amsterdam.",2018
,6,Fine-Grained Dynamic Resource Allocation for Big-Data Applications,"Baresi, Luciano; Leva, Alberto; Quattrocchi, Giovanni",IEEE INSTITUTE OF ELECTRICAL AND ELECTRONICS,2021
,7,"Physical education's grand convergence: Fitnessgram®, big-data and the digital commerce of children's health","Pluim, Carolyn; Gard, Michael",Taylor & Francis,2018
,8,A Kernel-Based Framework for Medical Big-Data Analytics,"Windridge, D.; Bober, M.",SPRINGER-VERLAG,2014
,9,Vergleich von Kompetenzanforderungen an Business-Intelligence- und Big-Data-Spezialisten,"Debortoli, S.; Müller, O.; Brocke, J. v.",unknown,2014
,10,Structural Health Monitoring as a Big-Data Problem,"Cremona, C.; Santos, J.","IABSE, ETH-HONGGERBERG",2018
,11,Fast algorithm for relaxation processes in big-data systems (10 pages),"Hwang, S.; Lee, D.-S.; Kahng, B.",AMERICAN PHYSICAL SOCIETY,2014
,12,Failure Analysis and Prediction for Big-Data Systems,"Rosa, A.; Chen, L. Y.; Binder, W.",Institute of Electrical & Electronics Engineers,2017
,13,"Symposium on insure‐tech, digitalization, and big‐data techniques in risk management and insurance","Bauer, Daniel; Tyler Leverty, James; Schmit, Joan; Sydnor, Justin",Wiley-Blackwell,2021
,14,The Power of Message Networks: A Big-Data Analysis of the Network Agenda Setting Model and Issue Ownership,"Guo, Lei; Vargo, Chris",Taylor & Francis,2015
,15,Interview mit Stefan Wrobel zum Thema „Angewandte Big-Data-Forschung“,"Jarke, M.",unknown,2014
,16,Interview mit Michael Feindt zum Thema „Präskriptive Big-Data-Analyse“,"Jarke, M.",unknown,2014
,17,In sieben Schritten zum erfolgreichen Big-Data-Projekt,"Conrads, R.",Springer Science + Business Media,2014
,18,Editorial Note: HCI Systems for Big-Data Based Multimedia Applications,unknown,Springer Science + Business Media,2017
,19,Cost optimization for deadline-aware scheduling of big-data processing jobs on clouds,"Zheng, Wei; Qin, Yingsheng; Bugingo, Emmanuel; Zhang, Dongzhan; Chen, Jinjun","Elsevier Science B.V., Amsterdam.",2018
,20,A Kernel-Based Framework for Medical Big-Data Analytics,"Windridge, D.; Bober, M.",Cham; Springer,2014
,21,"„Wichtig ist auch der Hinweis, dass Big-Data- und vergleichbare Konzepte nicht unmittelbar greifen“",unknown,Springer Science + Business Media,2016
,22,An Out of Memory tSVD for Big-Data Factorization,"Carrillo-Cabada, Hector; Skau, Erik; Chennupati, Gopinath; Alexandrov, Boian; Djidjev, Hristo",IEEE,2020
,23,RW4 APPLICATION OF ARTIFICIAL INTELLIGENCE AND MEDICAL BIG-DATA IN REAL WORLD EVIDENCE GENERATION: A LITERATURE REVIEW OF RESEARCH PRACTICE IN CHINA,"Xiong, T.; Li, J.; Hao, Y.; Xu, J.","Elsevier Science B.V., Amsterdam",2019
,24,Evolutionary Scheduling of Dynamic Multitasking Workloads for Big-Data Analytics in Elastic Cloud,"Zhang, F.; Cao, J.; Tan, W.; Khan, S. U.; Li, K.; Zomaya, A. Y.",IEEE,2014
,25,22.4 Starting to Think About Big-Data Approaches to Clinical Detection of Early-Stage Bipolar Disorder: Evidence-Based Assessment and Statistical Learning Models,"Youngstrom, Eric; Lindheim, Oliver",Elsevier,2018
,26,AD EXEC OF THE FUTURE? BIG-DATA DRAPER,"Kerwin, Ann Marie; Zmuda, Natalie","Crain Communications, Inc.",2013
,27,Economics and econophysics in the era of Big Data,"Cheong, S. A.",SPRINGER,2016
,28,"Phylogenomics — principles, opportunities and pitfalls of big‐data phylogenetics","Young, Andrew D.; Gillung, Jessica P.","John Wiley & Sons, Ltd",2020
,29,Emergency Drug Procurement Planning Based on Big-Data Driven Morbidity Prediction,"Song, Qin",IEEE,2019
,30,The Linear Estimation Problem and Information in Big-Data Systems,"Golubtsov, P. V.",Springer Nature,2018
,31,The China Kidney Disease Network (CK-NET): “Big Data—Big Dreams”,"Saran, Rajiv; Steffick, Diane; Bragg-Gresham, Jennifer",W B SAUNDERS CO,2017
,32,Mapping collective behavior in the big-data era,"Bentley, R.A.; O Brien, M.J.; Brock, W.A.",CAMBRIDGE UNIVERSITY PRESS,2014
,33,Deadline-Aware Scheduling and Flexible Bandwidth Allocation for Big-Data Transfers,"Srinivasan, Srinikethan Madapuzi",IEEE,2018
,34,PWR pin-homogenized cross-sections analysis using big-data technology,"Hua, Guowei; Li, Yunzhao; Wang, Sicheng","Elsevier Science B.V., Amsterdam.",2020
,35,High-performance interconnection networks in the Exascale and Big-Data Era,"Escudero-Sahuquillo, J. s.; Garcia, P. J.",Springer Science + Business Media,2016
,36,"Stochastic Approximation: From Statistical Origin to Big-Data, Multidisciplinary Applications","Lai, Tze Leung; Yuan, Hongsong",IMS INSTITUTE OF MATHEMATICAL STATISTICS,2021
,37,A Study on Monitoring Models for Big-Data Traffic Analysis and Utilization,Hae-Jong Joo; Moon-Taek Cho; Jong-Suk Lee,International Information Institute,2015
,38,JBHI Special Issue of &#x201C;Big-Data for Health&#x201D;,unknown,IEEE INSTITUTE OF ELECTRICAL AND ELECTRONICS,2014
,39,A code offloading scheme for big-data processing in android applications,"Hung, S. H.; Tzeng, T. T.; Wu, G. D.; Shieh, J. P.","John Wiley & Sons, Ltd",2015
,40,Predicting the pattern of technology convergence using big-data technology on large-scale triadic patents,"Lee, W. S.; Han, E. J.; Sohn, S. Y.","Elsevier Science B.V., Amsterdam.",2015
,41,Monsanto throws its hat in the big-data ring,unknown,CXO MEDIA,2013
,42,WHEN SHOULD INVESTORS SHORT THE STOCKS OF ACQUIRING FIRMS? BIG-DATA INSIGHTS FROM JOINING CAR AND EVA STYLE ANALYSIS,"Chakraborty, Atreya; Grant, James L.; Trahan, Emery A.; Varma, Bhakti",INSTITUTIONAL INVESTOR INC.,2019
,43,"Selected Peer-Reviewed Articles from 3rd International Conference on Big-Data, IoT, Cloud Computing Technologies and Applications (BICTA 2017), Daejeon, Korea, 9–11 November, 2017",Sok Pal Cho,American Scientific Publishers,2018
,44,Introduction to the Special Issue on Online Learning for Big-Data Driven Transportation and Mobility,unknown,INSTITUTE OF ELECTRICAL AND ELECTRONICS ENGINEERS INC,2019
,45,Stochastic Decision Making for Adaptive Crowdsourcing in Medical Big-Data Platforms,"Kim, J.; Lee, W.",IEEE,2015
,46,Siting public electric vehicle charging stations in Beijing using big-data informed travel patterns of the taxi fleet,"Cai, H.; Jia, X.; Chiu, A.S.F.; Hu, X.; Xu, M.","Elsevier Science B.V., Amsterdam.",2014
,47,Anatomy of Scholarly Collaboration in Engineering Education: A Big-Data Bibliometric Analysis,"Xian, H.; Madhavan, K.",AMERICAN SOCIETY FOR ENGINEERING EDUCATION,2014
,48,Predicting In-Hospital Mortality at Admission to the Medical Ward: A Big-Data Machine Learning Model,"Soffer, Shelly; Klang, Eyal; Barash, Yiftach; Grossman, Ehud; Zimlichman, Eyal","Elsevier Science B.V., Amsterdam.",2021
,49,A novel GPU-aware Histogram-based algorithm for supporting moving object segmentation in big-data-based IoT application scenarios,"Cuzzocrea, Alfredo; Mumolo, Enzo","Elsevier Science B.V., Amsterdam.",2019
,50,Proxy expenditure weights for Consumer Price Index: Audit sampling inference for big‐data statistics,"Zhang, Li‐Chun",John Wiley & Sons Ltd,2021
,51,Predicting future mental illness from social media: A big-data approach,"Thorstad, Robert; Wolff, Phillip",Springer Nature,2019
,52,Convergent Evolution of the Army Ant Syndrome and Congruence in Big-Data Phylogenetics,Marek L Borowiec,Society of Systematic Biologists,2019
,53,"Risk Assessment of Secondary Primary Malignancies in Nasopharyngeal Carcinoma: A Big-Data Intelligence Platform-Based Analysis of 6, 377 Long-term Survivors from an Endemic Area Treated with Intensity-Modulated Radiation Therapy during 2003-2013","Zhang, Lu-Lu; Li, Guo-Hong; Li, Yi-Yang; Qi, Zhen-Yu; Lin, Ai-Hua; Sun, Ying",Korean Cancer Association,2019
,54,Raffi Krikorian He left Uber to help the DNC regain its big-data mojo,unknown,TECHNOLOGY REVIEW,2018
,55,Symmetrical Compression Distance for Arrhythmia Discrimination in Cloud-Based Big-Data Services,"Lillo-Castellano, J. M.; Mora-Jimenez, I.; Santiago-Mozos, R.; Chavarria-Asso, F.; Cano-Gonzalez, A.; Garcia-Alberola, A.; Rojo-Alvarez, J. L.",IEEE,2015
,56,A Novel on Altered K-Means Algorithm for Clustering Cost Decrease of Non-labeling Big-Data,"Jung, Se-Hoon; So, Won-Ho; You, Kang-Soo; Sim, Chun-Bo",Springer,2018
,57,"A candidate gene identification strategy utilizing mouse to human big-data mining: ""3R-tenet"" in COPD genetic research","Vishweswaraiah, Sangeetha; George, Leema; Purushothaman, Natarajan; Ganguly, Koustav",Springer Nature,2018
,58,Modeling for Global Management of Complex Product Subject Data Oriented at Big-Data,"Wu, D.; Yin, G.F.",TRANS TECH PUBLICATIONS,2014
,59,Stakeholder concerns of air pollution in Hong Kong and policy implications: A big-data computational text analysis approach,"Lam, Jacqueline C.K.; Cheung, Lawrence Y.L.; Wang, Shanshan; Li, Victor O.K.","Elsevier Science B.V., Amsterdam.",2019
,60,The best ways to get business value out of big-data analysis,unknown,CXO MEDIA,2012
,61,"Analysis commons, a team approach to discovery in a big-data environment for genetic epidemiology","Brody, J. A.; Morrison, A. C.; Bis, J. C.; O'Connell, J. R.; Brown, M. R.; Huffman, J. E.; Ames, D. C.; Carroll, A.; Conomos, M. P.; Gabriel, S.",Nature Publishing Group,2017
,62,Introduction to the Special Issue on Online Learning for Big-Data Driven Transportation and Mobility,"Del Ser, Javier; Sanchez-Medina, Javier J.; Vlahogianni, Eleni I.",INSTITUTE OF ELECTRICAL AND ELECTRONICS ENGINEERS INC,2019
,63,Special issue on trends in high‐performance interconnection networks in the exascale and big‐data era,"Escudero‐Sahuquillo, Jesús; Garcia, Pedro Javier","John Wiley & Sons, Ltd",2017
,64,CAMP: ACCURATE MODELING OF CORE AND MEMORY LOCALITY FOR PROXY GENERATION OF BIG-DATA APPLICATIONS,"Panda, Reena; Zheng, Xinnian; Gerstlauer, Andreas; John, Lizy Kurian",IEEE Computer Society,2018
,65,Androgen Deprivation Therapy and Dementia: New Opportunities and Challenges in the Big-Data Era,"Nead,  Kevin T.",American Society of Clinical Oncology,2017
,66,"Development of Human Emotion Circuits Investigated Using a Big-Data Analytic Approach: Stability, Reliability, and Robustness","Zhang, Yuan; Padmanabhan, Aarthi; Gross, James J.; Menon, Vinod",Society for Neuroscience,2019
,67,Managing default risk under trade credit: Who should implement Big-Data analytics in supply chains?,"Tsao, Yu-Chung","Elsevier Science B.V., Amsterdam.",2017
,68,"Genomic Sequencing: Assessing The Health Care System, Policy, And Big-Data Implications","Phillips, K.A.; Trosman, J.R.; Kelley, R.K.; Pletcher, M.J.; Douglas, M.P.; Weldon, C.B.",PROJECT HOPE,2014
,69,An energy management platform for micro-grid systems using Internet of Things and Big-data technologies,Abdellatif Elmouatamid ; Youssef NaitMalek ; Mohamed Bakhouya ; Radouane Ouladsine ; Najib Elkamoun ; Khalid Zine-Dine ; Mohammed Khaidar,Institution of Mechanical Engineers,2019
,70,"Deep Thinkers For three top-tier businesses that are reaping big rewards from big-data analytics, the keys to success include a deeply rooted culture of analytics and a relentless focus on cost efficiency and process improvement",unknown,CW COMMUNICATIONS INC.,2013
,71,"Digital conversations about suicide among teenagers and adults with epilepsy: A big‐data, machine learning analysis","Falcone, Tatiana; Dagar, Anjali; Castilla-Puentes, Ruby C.; Anand, Amit; Brethenoux, Caroline; Valleta, Liliana G.; Furey, Patrick; Timmons-Mitchell, Jane; Pestana-Knight, Elia",John Wiley & Sons Ltd,2020
,72,Commuting inequity and its determinants in Shanghai: New findings from big-data analytics,"Zhao, Pengjun; Cao, Yushu","Elsevier Science B.V., Amsterdam.",2020
,73,A Kind of Novel ITS Based on Space-Air-Ground Big-Data,"Xiong, G.; Zhu, F.; Dong, X.; Fan, H.; Hu, B.; Kong, Q.; Kang, W.; Teng, T.",IEEE Institute of Electrical & Electronics,2016
,74,Quantifying Uncertainty in Internet of Medical Things and Big-Data Services Using Intelligence and Deep Learning,"Al-Turjman, Fadi",IEEE,2019
,75,Predicting Congestion States from Basic Safety Messages by Using Big-Data Graph Analytics,"Vasudevan,  Meenakshy; Negron,  Daniel; Feltz,  Matthew; Mallette,  Jennifer; Wunderlich,  Karl","Washington, DC; National Academy Press; 1998",2015
,76,Aspirin and heart disease form focus of US big-data health initiative,unknown,Nature Publishing Group,2014
,77,Parallel and Distributed Successive Convex Approximation Methods for Big-Data Optimization,"Scutari, Gesualdo; Sun, Ying",Springer-Verlag,2014
,78,"Competing risk nomograms for nasopharyngeal carcinoma in the intensity-modulated radiotherapy era: A big-data, intelligence platform-based analysis","Huang, Xiao-Dan; Zhou, Guan-Qun; Lv, Jia-Wei; Zhou, Hua-Qiang; Zhong, Chen-Wen; Wu, Chen-Fei; Zheng, Zi-Qi; He, Xiao-Jun; Peng, Liang; Ma, Jun; Sun, Ying","Elsevier Science B.V., Amsterdam.",2018
,79,Real-time business activity monitoring and analysis of process performance on big-data domains,"Vera-Baquero, Alejandro; Colomo-Palacios, Ricardo; Molloy, Owen","Elsevier Science B.V., Amsterdam.",2016
,80,"Chew on It! How Singapore-based health informatics company MHC Asia Group crunches big-data to uncover your company's health. MHC Asia, Singapore",unknown,K.H. BIOTECH SERVICES,2015
,81,Effective crude oil price forecasting using new text-based and big-data-driven model,"Wu, Binrong; Wang, Lin; Lv, Sheng-Xiang; Zeng, Yu-Rong","Elsevier Science B.V., Amsterdam.",2021
,82,Analyzing the Influencing Factors of Urban Thermal Field Intensity Using Big-Data-Based GIS,"Huanchun, Huang; Hailin, Yang; Xin, Deng; Cui, Hao; Zhifeng, Liu; Wei, Liu; Peng, Zeng",Elsevier Science,2020
,83,PMU44 - TOP 10 MOST COSTLY DISEASES IN CHINA: A BIG-DATA DATABASE ANALYSIS,"Huang, Y; Ruan, J; Yang, W; Wu, Y; Xiao, H","Elsevier Science B.V., Amsterdam",2018
,84,Mining Based Time-Series Sleeping Pattern Analysis for Life Big-Data,"Kim, Joo-Chang; Chung, Kyungyong",Springer Nature,2018
,85,A Cloud-Distributed GPU Architecture for Pattern Identification in Segmented Detectors Big-Data Surveys,"Napoli, C.; Pappalardo, G.; Tramontana, E.; Zappalà, G.",Oxford University Press,2016
,86,A benchmark approach and its toolkit for online scheduling of multiple deadline-constrained workflows in big-data processing systems,"Zhang, Dongzhan; Yan, Wenjing; Bugingo, Emmanuel; Zheng, Wei; Chen, Jinjun","Elsevier Science B.V., Amsterdam.",2018
,87,Scheduling Instructions for Enhanced Performance and Energy Efficiency on a Clustered Architecture with Applications in Big-Data Sensor Networks ," Zeng, Sishu; Tang, Haijing; Yang, Xu",American Scientific Publishers,2016
,88,Agricultural cropland extent and areas of South Asia derived using Landsat satellite 30-m time-series big-data using random forest machine learning algorithms on the Google Earth Engine cloud,"Gumma, Murali Krishna; Thenkabail, Prasad S.; Teluguntla, Pardhasaradhi G.; Oliphant, Adam; Xiong, Jun; Giri, Chandra; Pyla, Vineetha; Dixit, Sreenath; Whitbread, Anthony M",Taylor and Francis,2020
,89,Sleep and screen exposure across the beginning of life: deciphering the links using big-data analytics,"Kahn, Michal; Barnett, Natalie; Glazer, Assaf; Gradisar, Michael",Oxford University Press,2020
,90,Clinical features and survival outcomes between ascending and descending types of nasopharyngeal carcinoma in the intensity-modulated radiotherapy era: A big-data intelligence platform-based analysis,"Yao, Ji-Jin; Qi, Zhen-Yu; Liu, Zhi-Gang; Jiang, Guan-Min; Xu, Xi-Wei; Chen, Shao-Yi; Zhu, Feng-Ting; Zhang, Wang-Jian; Lawrence, Wayne R.; Ma, Jun; Zhou, Guan-Qun; Sun, Ying","Elsevier Science B.V., Amsterdam.",2019
,91,Evolution of regional low-carbon innovation systems with sustainable development: An empirical study with big-data,"Yin, Hang; Zhao, Jianyu; Xi, Xi; Zhang, Yuhan","Elsevier Science B.V., Amsterdam.",2019
,92,A Review of Modern Cryptography: From the World War II Era to the Big-Data Era,"Lu,  Bojun",Kluwer Academic Publishers,2017
,93,A ReRAM-Based 4T2R Nonvolatile TCAM Using RC-Filtered Stress-Decoupled Scheme for Frequent-OFF Instant-ON Search Engines Used in IoT and Big-Data Processing,"Chang, M.; Huang, L.; Lin, W.; Chiang, Y.; Kuo, C.; Chuang, C.; Yang, K.; Tsai, H.; Chen, T.; Sheu, S.",IEEE; 1998,2016
,94,A utility-maximization model for retrieving users' willingness to travel for participating in activities from big-data,"Gkiotsalitis, K.; Stathopoulos, A.","Elsevier Science B.V., Amsterdam.",2015
